2012-02-24,0.0138000000000007,100,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,25,0,0,0,9,6,0,27,0,0,0,
2012-02-25,-0.2558000000000007,86,0,0,3,8,0,4,2,4,2,0,5,3,0,0,0,0,0,3,4,0,0,0,1,0,0,10,0,5,1,0,8,0,6,0,4,2,0,11,0,0,0,
2012-02-26,0.14900000000000002,75,0,0,7,6,0,7,2,0,0,0,7,2,0,1,0,0,0,2,2,0,0,0,1,0,0,2,0,4,0,0,10,0,4,0,5,0,0,13,0,0,0,
2012-02-27,0.034000000000000696,100,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,33,0,0,0,10,3,0,29,0,0,0,
2012-02-28,-0.08800000000000008,100,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,27,0,0,0,12,5,0,24,0,0,0,
2012-02-29,-0.008000000000000007,100,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,7,0,0,0,8,16,0,0,0,0,0,0,0,23,0,0,0,12,6,0,19,0,0,0,
2012-03-01,0.061299999999999244,100,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,0,0,29,9,0,0,0,0,0,0,0,25,0,0,0,5,6,0,14,0,0,0,
2012-03-02,-0.2162999999999995,100,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,25,0,0,0,8,9,0,0,0,0,0,0,0,20,0,0,0,11,6,0,13,0,0,0,
2012-03-03,-0.09060000000000024,85,0,0,0,7,0,5,0,3,2,0,4,3,0,0,0,0,0,18,4,0,0,3,2,0,0,4,0,4,0,0,8,0,7,0,2,1,0,8,0,0,0,
2012-03-04,0.20560000000000045,74,0,0,3,4,0,7,0,2,0,0,6,12,0,0,0,0,0,1,2,0,0,0,5,0,0,2,0,3,0,0,10,0,3,0,3,2,0,9,0,0,0,
2012-03-05,0.1642999999999999,100,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,0,12,8,0,0,0,0,0,0,0,25,0,0,0,14,4,0,24,0,0,0,
2012-03-06,0.005799999999999805,100,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,5,0,0,0,7,11,0,0,0,0,0,0,0,25,0,0,0,10,4,0,27,0,0,0,
2012-03-07,-0.05259999999999998,100,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,4,0,0,0,3,8,0,0,0,0,0,0,0,29,0,0,0,12,5,0,24,0,0,0,
2012-03-08,-0.007299999999999862,100,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,4,0,0,0,6,14,0,0,0,0,0,0,0,23,0,0,0,9,5,0,27,0,0,0,
2012-03-09,-0.06909999999999972,100,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,6,0,0,0,5,6,0,0,0,0,0,0,0,31,0,0,0,11,9,0,19,0,0,0,
2012-03-10,-0.027900000000000702,78,0,0,4,5,0,5,2,4,1,0,4,5,0,0,0,0,0,3,3,0,0,1,1,0,0,4,0,2,7,0,5,0,3,0,6,2,0,11,0,0,0,
2012-03-11,0.07680000000000042,72,0,0,6,6,0,6,1,0,0,0,3,9,0,0,0,0,0,2,4,0,0,0,2,0,0,2,0,3,0,0,10,0,3,0,6,0,0,9,0,0,0,
2012-03-12,-0.019899999999999807,100,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,0,0,6,8,0,0,0,0,0,0,0,27,0,0,0,9,7,0,27,0,0,0,
2012-03-13,0.37989999999999924,100,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,8,5,0,0,0,0,0,0,0,24,0,0,0,12,7,0,29,0,0,0,
2012-03-14,0.11000000000000032,100,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,4,0,0,0,11,12,0,0,0,0,0,0,0,18,0,0,0,12,4,0,20,0,0,0,
2012-03-15,-0.05339999999999989,100,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,8,0,0,0,5,10,0,0,0,0,0,0,0,29,0,0,0,13,3,0,20,0,0,0,
2012-03-16,0.01729999999999965,100,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,22,0,0,0,7,7,0,0,0,0,0,0,0,20,0,0,0,14,5,0,18,0,0,0,
2012-03-17,-0.12799999999999923,72,0,0,2,7,0,5,0,4,0,0,6,4,0,0,0,0,0,2,1,0,0,1,1,0,0,3,0,4,8,0,5,0,3,0,3,3,0,10,0,0,0,
2012-03-18,0.06349999999999945,71,0,0,7,4,0,1,3,0,0,0,2,5,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,3,15,0,10,0,4,0,3,0,0,8,0,0,0,
